T,FK-3kW,FX-400,FX-1000
294,0.2895,0.1875,0.3
295,0.2895,0.1875,0.3
296,0.2895,0.1875,0.3
297,0.2895,0.2015625,0.3282605
298,0.2895,0.2015625,0.3282605
299,0.2895,0.2015625,0.3565215
300,0.2895,0.2015625,0.3565215
301,0.2895,0.2015625,0.3565215
302,0.2895,0.2015625,0.3565215
303,0.2895,0.215625,0.3847825
304,0.3715,0.228125,0.4478265
305,0.4705,0.2414065,0.4978265
306,0.4705,0.25625,0.530435
307,0.4705,0.25625,0.5673915
308,0.4705,0.270312,0.5673915
309,0.6275,0.270312,0.5956525
310,0.6275,0.270312,0.5956525
311,0.6275,0.270312,0.5956525
312,0.6275,0.282812,0.626087
313,0.6275,0.282812,0.626087
314,0.6275,0.282812,0.626087
315,0.6275,0.282812,0.6608695
316,0.6275,0.282812,0.6608695
317,0.6275,0.282812,0.626087
318,0.6275,0.282812,0.626087
319,0.6275,0.282812,0.6608695
320,0.6275,0.2960935,0.6608695
321,0.6275,0.3125,0.6934785
322,0.815,0.3125,0.726087
323,0.815,0.3289065,0.7565215
324,0.815,0.3289065,0.7869565
325,0.815,0.3289065,0.7565215
326,0.815,0.3125,0.726087
327,0.815,0.3125,0.726087
328,0.815,0.3125,0.726087
329,0.6275,0.3125,0.6934785
330,0.6275,0.2960935,0.6608695
331,0.6275,0.282812,0.6608695
332,0.6275,0.2960935,0.6608695
333,0.6275,0.3125,0.6934785
334,0.6275,0.2960935,0.6608695
335,0.6275,0.2960935,0.6608695
336,0.6275,0.2960935,0.6608695
337,0.6275,0.282812,0.6608695
338,0.6275,0.282812,0.626087
339,0.6275,0.282812,0.626087
340,0.6275,0.282812,0.6608695
341,0.6275,0.2960935,0.6608695
342,0.6275,0.3125,0.6934785
343,0.815,0.3125,0.726087
344,0.815,0.3125,0.726087
345,0.815,0.3289065,0.7565215
346,0.815,0.3289065,0.7565215
347,0.815,0.3289065,0.7869565
348,0.992,0.3414065,0.7869565
349,0.815,0.3289065,0.7869565
350,0.815,0.3125,0.726087
351,0.815,0.3125,0.726087
352,0.815,0.3125,0.726087
353,0.815,0.3125,0.726087
354,0.815,0.3125,0.726087
355,0.815,0.3125,0.726087
356,0.815,0.3125,0.726087
357,0.815,0.3125,0.726087
358,0.815,0.3125,0.726087
359,0.6275,0.3125,0.6934785
360,0.6275,0.2960935,0.6608695
361,0.6275,0.282812,0.6608695
362,0.6275,0.270312,0.5956525
363,0.4705,0.270312,0.5673915
364,0.4705,0.25625,0.5673915
365,0.4705,0.2414065,0.4978265
366,0.3715,0.228125,0.4173915
367,0.3715,0.215625,0.3847825
368,0.3715,0.228125,0.4173915
369,0.3715,0.228125,0.4173915
370,0.3715,0.215625,0.3847825
371,0.3715,0.228125,0.4173915
372,0.3715,0.2414065,0.4739135
373,0.4705,0.25625,0.5673915
374,0.4705,0.270312,0.5673915
375,0.6275,0.270312,0.5956525
376,0.6275,0.270312,0.5956525
377,0.6275,0.270312,0.5956525
378,0.6275,0.270312,0.5956525
379,0.6275,0.282812,0.626087
380,0.6275,0.282812,0.626087
381,0.6275,0.282812,0.6608695
382,0.6275,0.282812,0.6608695
383,0.6275,0.282812,0.626087
384,0.4705,0.270312,0.5673915
385,0.4705,0.25625,0.530435
386,0.4705,0.25625,0.530435
387,0.4705,0.25625,0.5673915
388,0.4705,0.270312,0.5673915
389,0.6275,0.270312,0.5956525
390,0.6275,0.282812,0.626087
391,0.6275,0.282812,0.626087
392,0.6275,0.282812,0.626087
393,0.6275,0.270312,0.5956525
394,0.4705,0.25625,0.5673915
395,0.4705,0.25625,0.5673915
396,0.4705,0.270312,0.5673915
397,0.6275,0.270312,0.5956525
398,0.6275,0.270312,0.5956525
399,0.6275,0.270312,0.5956525
400,0.6275,0.270312,0.5956525
401,0.6275,0.270312,0.5956525
402,0.6275,0.270312,0.5956525
403,0.6275,0.282812,0.626087
404,0.6275,0.282812,0.626087
405,0.6275,0.282812,0.626087
406,0.6275,0.270312,0.5956525
407,0.4705,0.270312,0.5673915
408,0.4705,0.270312,0.5673915
409,0.4705,0.270312,0.5673915
410,0.4705,0.270312,0.5673915
411,0.6275,0.270312,0.5956525
412,0.6275,0.270312,0.5956525
413,0.6275,0.270312,0.5956525
414,0.6275,0.270312,0.5956525
415,0.6275,0.270312,0.5956525
416,0.6275,0.282812,0.626087
417,0.6275,0.282812,0.626087
418,0.6275,0.282812,0.6608695
419,0.6275,0.282812,0.626087
420,0.6275,0.270312,0.5956525
421,0.4705,0.270312,0.5673915
422,0.4705,0.25625,0.530435
423,0.4705,0.2414065,0.4978265
424,0.4705,0.2414065,0.4978265
425,0.4705,0.2414065,0.4978265
426,0.4705,0.25625,0.530435
427,0.4705,0.25625,0.5673915
428,0.4705,0.270312,0.5673915
429,0.6275,0.270312,0.5956525
430,0.4705,0.270312,0.5673915
431,0.6275,0.270312,0.5956525
432,0.6275,0.282812,0.626087
433,0.6275,0.282812,0.626087
434,0.6275,0.270312,0.5956525
435,0.4705,0.270312,0.5673915
436,0.4705,0.25625,0.530435
437,0.4705,0.2414065,0.4978265
438,0.3715,0.2414065,0.4739135
439,0.3715,0.228125,0.4173915
440,0.3715,0.228125,0.4173915
441,0.3715,0.228125,0.4173915
442,0.3715,0.228125,0.4173915
443,0.3715,0.215625,0.3847825
444,0.3715,0.215625,0.3847825
445,0.2895,0.215625,0.3847825
446,0.2895,0.2015625,0.3282605
447,0.2895,0.1875,0.3
448,0.208,0.163281,0.2456525
449,0.208,0.150781,0.204348
450,0.208,0.150781,0.204348
451,0.208,0.163281,0.2217395
