T,Sunergy-370W,Luxen-450W
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0.008405529,0.010231359
417,0.090383452,0.11026852
418,0.177605481,0.217253949
419,0.249613319,0.306091547
420,0.300278201,0.368913579
421,0.328534569,0.404092672
422,0.332800699,0.409465553
423,0.3133564,0.385269313
424,0.271604265,0.333402609
425,0.200679128,0.245722324
426,0.134500696,0.164333555
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0.003354005,0.004081534
441,0.013556645,0.016502527
442,0.149659033,0.18291676
443,0.23021954,0.282171936
444,0.291048549,0.357559641
445,0.318287836,0.391475872
446,0.330106585,0.406270358
447,0.310927635,0.382410934
448,0.269409061,0.330845055
449,0.209153784,0.256275399
450,0.141370101,0.172794288
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0.006657458,0.008103602
465,0.053445944,0.065141459
466,0.040513685,0.049362676
467,0.103954518,0.126894883
468,0.183997285,0.225159997
469,0.275502223,0.338165609
470,0.228375713,0.279839708
471,0.240854851,0.295258006
472,0.258547094,0.317127688
473,0.205922966,0.252127431
474,0.138013361,0.16862094
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0.007726394,0.009404813
489,0.079967985,0.097525709
490,0.137675727,0.168179416
491,0.240158467,0.294306066
492,0.297151001,0.364865257
493,0.324900274,0.399382587
494,0.328841377,0.404289891
495,0.214031958,0.262091398
496,0.232946956,0.285455617
497,0.198695286,0.243219097
498,0.137751839,0.168311989
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0.00823107,0.010019572
513,0.089765042,0.10949417
514,0.176997618,0.216404941
515,0.249805758,0.306100343
516,0.301767397,0.370379684
517,0.321593641,0.395016011
518,0.302285095,0.371097359
519,0.314913463,0.386830377
520,0.264573166,0.324456496
521,0.197492986,0.241680246
522,0.141943306,0.173413704
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0.007641835,0.009302218
537,0.081742187,0.099697372
538,0.173143543,0.21173535
539,0.244593533,0.299846914
540,0.295272608,0.362673913
541,0.322593469,0.396666922
542,0.30246508,0.371652923
543,0.28539272,0.350451038
544,0.249500538,0.3059798
545,0.20411738,0.249917163
546,0.133869657,0.163542052
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,0.005972965,0.007270562
561,0.051217357,0.062422849
562,0.115698673,0.141290311
563,0.160472598,0.19625818
564,0.261133491,0.320540445
565,0.25198685,0.30922044
566,0.23906591,0.293221246
567,0.221468966,0.271449482
568,0.17165693,0.210021322
569,0.199592434,0.244408723
570,0.124930547,0.152598829
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
