T,Sunergy-370W,Luxen-450W
570,0.02683692,0.032776478
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0.094946736,0.116017161
585,0.173183807,0.212509747
586,0.236951172,0.291983969
587,0.28185411,0.348592299
588,0.304154988,0.377091435
589,0.306320038,0.380103586
590,0.287251005,0.356142653
591,0.250133819,0.309381758
592,0.194074787,0.239225272
593,0.120964363,0.148501764
594,0.039876903,0.048739138
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0.096549292,0.117955608
609,0.175173116,0.214955602
610,0.238823688,0.294390991
611,0.280652289,0.347252561
612,0.303334988,0.376311061
613,0.299787924,0.372085264
614,0.288593215,0.358059403
615,0.251668996,0.31151295
616,0.195280583,0.240859143
617,0.121941044,0.149748881
618,0.040199872,0.049134061
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0.095844379,0.117102981
633,0.174822822,0.214546537
634,0.238022527,0.293441186
635,0.280618015,0.347379135
636,0.30216221,0.375096918
637,0.303672398,0.377392966
638,0.264460945,0.32790948
639,0.248335218,0.307558362
640,0.192687279,0.237761407
641,0.12030251,0.147790938
642,0.039561695,0.048370923
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0.092900753,0.11353639
657,0.171564457,0.21056378
658,0.215290474,0.265102508
659,0.279995447,0.346342158
660,0.303008047,0.375716113
661,0.306093654,0.379878198
662,0.288657855,0.357942387
663,0.251639143,0.311341021
664,0.195748937,0.241377675
665,0.122332029,0.150238099
666,0.041092252,0.050245014
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0.093846257,0.114753214
681,0.171409721,0.210514411
682,0.234733785,0.289551614
683,0.276726479,0.342644118
684,0.299278825,0.371515056
685,0.302037533,0.375226166
686,0.284647552,0.353294054
687,0.247907126,0.306950103
688,0.191649214,0.236440146
689,0.118984478,0.14616554
